epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,341.815,1.068,0.72786,1.1248,0.77692,0.94928,0.89083,0.57319,1.39559,0.81935,1.42946,0.000996313,0.000996313,0.000996313
43,349.113,1.00254,0.65531,1.08683,0.82667,0.93529,0.9281,0.62971,1.29961,0.7814,1.36995,0.000990125,0.000990125,0.000990125
44,355.837,1.02568,0.68042,1.11582,0.83921,0.73542,0.87693,0.5409,1.47304,0.94739,1.45278,0.000983938,0.000983938,0.000983938
45,363.178,1.04106,0.65875,1.10108,0.57078,0.89555,0.92525,0.57084,1.34221,1.42322,1.36211,0.00097775,0.00097775,0.00097775
46,370.43,0.92411,0.58457,1.06091,0.71933,0.872,0.93118,0.57345,1.35816,1.05359,1.34816,0.000971562,0.000971562,0.000971562
47,377.956,1.03072,0.73921,1.12776,0.79356,0.99386,0.97426,0.64042,1.32685,0.95373,1.36563,0.000965375,0.000965375,0.000965375
48,384.549,1.02489,0.71635,1.09547,0.95046,0.91323,0.98917,0.64902,1.31011,0.79986,1.33661,0.000959187,0.000959187,0.000959187
49,391.841,0.96111,0.63026,1.10343,0.86902,0.89818,0.90419,0.62508,1.29559,0.78818,1.32405,0.000953,0.000953,0.000953
50,398.218,0.99175,0.65187,1.10098,0.95102,0.89568,0.96344,0.59701,1.35224,0.85372,1.33147,0.000946812,0.000946812,0.000946812
51,405.449,1.04083,0.7029,1.13854,0.96055,0.89896,0.93839,0.59673,1.43411,0.73168,1.39263,0.000940625,0.000940625,0.000940625
52,412.151,1.03328,0.85343,1.15707,0.93008,0.89672,0.96106,0.6097,1.42106,0.73256,1.37346,0.000934438,0.000934438,0.000934438
53,419.132,0.91702,0.57639,1.0555,0.83077,0.94536,0.95767,0.57604,1.45936,0.78799,1.41582,0.00092825,0.00092825,0.00092825
54,426.306,0.97818,0.67306,1.06144,0.96232,0.81943,0.87681,0.56173,1.4416,1.0406,1.42945,0.000922063,0.000922063,0.000922063
55,433.137,0.94492,0.59852,1.02825,0.94582,0.94571,0.981,0.63019,1.36606,0.68033,1.35393,0.000915875,0.000915875,0.000915875
56,440.186,1.04164,0.65511,1.16439,0.96143,0.91945,0.98917,0.66626,1.20001,0.65204,1.25654,0.000909688,0.000909688,0.000909688
57,447.066,1.03131,0.59441,1.13423,0.88894,0.8523,0.91005,0.57878,1.37579,0.69862,1.3716,0.0009035,0.0009035,0.0009035
58,454.169,0.94425,0.63506,1.05773,0.83743,0.86231,0.91627,0.58661,1.5301,0.68154,1.46242,0.000897313,0.000897313,0.000897313
59,461.045,0.99421,0.62363,1.0816,0.86318,0.89782,0.90715,0.61316,1.43735,0.68591,1.4243,0.000891125,0.000891125,0.000891125
60,468.129,1.07396,0.7498,1.11051,0.89394,0.93162,0.97796,0.65354,1.42525,0.64568,1.42246,0.000884938,0.000884938,0.000884938
61,474.9,1.00818,0.64456,1.09495,0.84798,0.95238,0.95089,0.60174,1.46383,0.74411,1.47375,0.00087875,0.00087875,0.00087875
62,482.341,0.97391,0.64438,1.1218,0.90319,0.97596,0.995,0.603,1.42742,0.73178,1.45055,0.000872563,0.000872563,0.000872563
63,489.287,0.98201,0.61375,1.08204,0.84563,0.92613,0.96648,0.59349,1.43991,0.74392,1.46451,0.000866375,0.000866375,0.000866375
64,496.597,0.95048,0.61692,1.10269,0.84794,0.92503,0.95315,0.62813,1.37684,0.73857,1.38547,0.000860188,0.000860188,0.000860188
65,503.784,0.99905,0.60232,1.09585,0.95865,0.94631,0.981,0.65332,1.31685,0.66632,1.34606,0.000854,0.000854,0.000854
66,510.646,0.9857,0.60039,1.07867,0.89233,0.93827,0.965,0.66216,1.17184,0.68728,1.29615,0.000847813,0.000847813,0.000847813
67,517.336,0.9565,0.57962,1.07397,0.96738,0.89978,0.95222,0.67475,1.23976,0.67458,1.33019,0.000841625,0.000841625,0.000841625
68,524.186,0.94608,0.58202,1.04518,0.95733,0.9422,0.981,0.67159,1.26751,0.67458,1.29793,0.000835438,0.000835438,0.000835438
69,531.366,0.91666,0.56297,1.06103,0.95468,0.8967,0.97136,0.64312,1.27091,0.65002,1.32142,0.00082925,0.00082925,0.00082925
70,538.215,0.96798,0.5965,1.09006,0.94764,0.89863,0.97426,0.66202,1.15672,0.6985,1.18426,0.000823063,0.000823063,0.000823063
71,544.773,0.96023,0.61629,1.07605,0.95225,0.91025,0.995,0.70791,1.17243,0.6947,1.20147,0.000816875,0.000816875,0.000816875
72,552.102,0.91338,0.64704,1.05313,0.97708,0.95238,0.98463,0.73872,1.19803,0.61209,1.19947,0.000810688,0.000810688,0.000810688
73,559.25,0.96667,0.58639,1.07537,0.96581,0.90476,0.97426,0.72064,1.16042,0.57859,1.17796,0.0008045,0.0008045,0.0008045
74,566.085,0.93758,0.54677,1.04725,0.87438,0.88921,0.96156,0.67287,1.14825,0.588,1.19717,0.000798313,0.000798313,0.000798313
75,573.16,0.90408,0.55332,1.06582,0.88259,0.90476,0.96156,0.67853,1.18819,0.6522,1.24992,0.000792125,0.000792125,0.000792125
76,580.077,0.92698,0.56362,1.03183,0.87529,0.93883,0.96222,0.64051,1.22967,0.679,1.32161,0.000785938,0.000785938,0.000785938
77,587.435,0.86937,0.54469,1.04,0.87384,0.9173,0.93603,0.63507,1.35305,0.79523,1.46471,0.00077975,0.00077975,0.00077975
78,593.883,0.90819,0.54417,1.06236,0.95141,0.95238,0.94961,0.61925,1.38143,0.71481,1.42194,0.000773563,0.000773563,0.000773563
79,600.835,0.93352,0.56215,1.05462,0.90667,0.95238,0.94993,0.59551,1.38539,0.7684,1.42977,0.000767375,0.000767375,0.000767375
80,607.718,0.9157,0.5445,1.03387,0.92921,0.94304,0.95029,0.60359,1.40036,0.7467,1.4073,0.000761188,0.000761188,0.000761188
81,614.567,0.89311,0.54402,1.02702,0.95997,0.90476,0.93108,0.63238,1.29104,0.67463,1.30809,0.000755,0.000755,0.000755
82,621.899,0.98935,0.62619,1.10876,0.95938,0.95238,0.94962,0.67911,1.27959,0.68202,1.34115,0.000748813,0.000748813,0.000748813
83,629.432,0.87658,0.57427,1.02926,0.94081,0.91757,0.95528,0.67706,1.24003,0.61092,1.34714,0.000742625,0.000742625,0.000742625
84,636.145,0.84946,0.5091,1.05014,0.95103,0.89463,0.97803,0.68769,1.21154,0.62576,1.29083,0.000736438,0.000736438,0.000736438
85,643.098,0.85381,0.51367,1.03145,0.91765,0.94146,0.98917,0.70522,1.17012,0.5685,1.22489,0.00073025,0.00073025,0.00073025
86,650.108,0.90374,0.54303,1.02324,0.93377,0.94045,0.98917,0.66907,1.17552,0.56528,1.18226,0.000724062,0.000724062,0.000724062
87,656.848,0.90371,0.51958,1.02214,0.89525,0.94813,0.98463,0.72336,1.19259,0.59146,1.20537,0.000717875,0.000717875,0.000717875
88,664.617,0.89148,0.52543,1.01395,0.83302,0.95963,0.96648,0.68854,1.21626,0.54102,1.24968,0.000711687,0.000711687,0.000711687
89,670.941,0.94726,0.56952,1.03688,0.89108,1,0.97796,0.71668,1.18108,0.61434,1.21615,0.0007055,0.0007055,0.0007055
