Page,Class ID,Class Name,Confidence,X1,Y1,X2,Y2
1,1,Seal,0.7782,1344.85,308.64,1836.01,797.53
1,2,Signature,0.6717,1438.63,420.84,1904.02,641.94
1,2,Signature,0.303,1399.44,386.85,1870.78,678.29
3,1,Seal,0.7974,1508.52,2428.32,1972.83,2897.74
3,2,Signature,0.7602,1443.92,2708.29,1809.47,2898.72
3,2,Signature,0.2697,1439.95,2488.95,1773.85,2611.16
